codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101532;BIA;BASES DE INGENIERIA AMBIENTAL;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0075;0,8046;0,7971
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101547;CE;CALIDAD Y EMPRESA;0;0;0,0302;0,8268;0,7966
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;0;0;0,0353;0,8307;0,7954
101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;660006;GEO;GEOLOGÍA;0;0;0,0018;0,7953;0,7935
101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0369;0,8246;0,7877
101526;FF;FUNDAMENTOS DE FÍSICA;101545;EST;ESTADÍSTICA;0;0;0,0000;0,7838;0,7838
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;0;0;0,0179;0,7993;0,7814
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101528;FM;FUNDAMENTOS DE MATEMÁTICAS;0;0;0,0130;0,7938;0,7808
101547;CE;CALIDAD Y EMPRESA;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0623;0,8424;0,7801
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;101545;EST;ESTADÍSTICA;0;0;0,0067;0,7865;0,7798
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0207;0,7998;0,7791
101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;101547;CE;CALIDAD Y EMPRESA;0;0;0,1420;0,9209;0,7789
101529;EA;ECONOMÍA AMBIENTAL;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;0;0;0,0369;0,8143;0,7774
101529;EA;ECONOMÍA AMBIENTAL;101549;GE;GESTIÓN DE ECOSISTEMAS;0;0;0,0258;0,8023;0,7765
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;0;0;0,0019;0,7783;0,7764
101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;660007;EDAF;EDAFOLOGÍA;0;0;0,0108;0,7822;0,7714
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;0;0;0,0255;0,7955;0,7700
101563;FA;FISICOQUÍMICA DE AGUAS;660007;EDAF;EDAFOLOGÍA;0;0;0,1135;0,8824;0,7689
101529;EA;ECONOMÍA AMBIENTAL;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0152;0,7811;0,7659
101524;QA;QUÍMICA AMBIENTAL;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;1;0,0886;0,8504;0,7618
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;0;0;0,0760;0,8344;0,7584
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;0;0,0134;0,7718;0,7584
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;0;0;0,0077;0,7635;0,7558
101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0541;0,8093;0,7552
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0347;0,7888;0,7541
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;101547;CE;CALIDAD Y EMPRESA;0;0;0,0450;0,7982;0,7532
101520;FB;FUNDAMENTOS DE BIOLOGÍA;101545;EST;ESTADÍSTICA;0;0;0,0222;0,7710;0,7488
