codigo_1;sigla_1;asignatura_1;curso_1;cuatrimestre_1;codigo_2;sigla_2;asignatura_2;curso_2;cuatrimestre_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico;u_confluencia;u_solapamiento_sincronico;u_solapamiento_diacronico
101529;EA;ECONOMÍA AMBIENTAL;2;2C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0369;0,8143;0,7774;1,0000;0,0000;0,0000
101529;EA;ECONOMÍA AMBIENTAL;2;2C;101549;GE;GESTIÓN DE ECOSISTEMAS;2;2C;0;0;0,0258;0,8023;0,7765;1,0000;0,0000;0,0000
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;1;1C;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;1;2C;0;0;0,0019;0,7783;0,7764;1,0000;0,0000;0,0000
101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;4;2C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0108;0,7822;0,7714;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;0;0;0,0255;0,7955;0,7700;1,0000;0,0000;0,0000
101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,1135;0,8824;0,7689;1,0000;0,0000;0,3175
101529;EA;ECONOMÍA AMBIENTAL;2;2C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0152;0,7811;0,7659;1,0000;0,0000;0,0000
101524;QA;QUÍMICA AMBIENTAL;2;1C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0886;0,8504;0,7618;1,0000;0,0000;0,1930
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0134;0,7718;0,7584;1,0000;0,0000;0,0000
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;4;1C;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;3;2C;0;0;0,0760;0,8344;0,7584;1,0000;0,0000;0,1300
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;1;2C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0077;0,7635;0,7558;1,0000;0,0000;0,0000
101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;3;2C;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;4;2C;0;0;0,0541;0,8093;0,7552;1,0000;0,0000;0,0205
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0347;0,7888;0,7541;1,0000;0,0000;0,0000
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;3;1C;101547;CE;CALIDAD Y EMPRESA;4;1C;0;0;0,0450;0,7982;0,7532;1,0000;0,0000;0,0000
101520;FB;FUNDAMENTOS DE BIOLOGÍA;1;1C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0222;0,7710;0,7488;1,0000;0,0000;0,0000
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;3;1C;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;4;1C;0;0;0,0089;0,7563;0,7474;1,0000;0,0000;0,0000
101545;EST;ESTADÍSTICA;1;2C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0035;0,7486;0,7451;1,0000;0,0000;0,0000
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;3;1C;101547;CE;CALIDAD Y EMPRESA;4;1C;0;0;0,0473;0,7921;0,7448;1,0000;0,0000;0,0000
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;3;1C;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;4;1C;0;0;0,0089;0,7537;0,7448;1,0000;0,0000;0,0000
101524;QA;QUÍMICA AMBIENTAL;2;1C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;1;1;0,1902;0,9336;0,7434;1,0000;0,0000;0,7010
101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;4;1C;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;4;2C;0;0;0,0136;0,7566;0,7430;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0466;0,7892;0,7426;1,0000;0,0000;0,0000
101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;3;2C;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;4;1C;0;0;0,0096;0,7519;0,7423;1,0000;0,0000;0,0000
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;1;2C;101549;GE;GESTIÓN DE ECOSISTEMAS;2;2C;0;0;0,0254;0,7663;0,7409;1,0000;0,0000;0,0000
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;0;0;0,0249;0,7643;0,7394;1,0000;0,0000;0,0000
